timestamp,segment_id,train_id,speed,acceleration,vibration_vertical,vibration_lateral,track_temperature,age_years,maintenance_score,curvature_degree,max_permitted_speed,risk_label
2026-01-01T02:30:00+00:00,SEG-008,T-130,80.183,1.804,0.02,0.368,31.387,36.78,0.855,4.33,100,0
2026-01-01T02:35:00+00:00,SEG-040,T-131,74.442,-0.54,0.981,0.557,47.435,14.07,0.641,0.981,80,1
2026-01-01T02:40:00+00:00,SEG-011,T-132,52.787,0.108,0.87,0.653,50.548,12.25,0.509,4.691,60,1
2026-01-01T02:45:00+00:00,SEG-041,T-133,84.214,0.81,0.02,0.262,32.528,31.15,0.888,0.528,130,0
2026-01-01T02:50:00+00:00,SEG-035,T-134,66.309,-0.694,0.368,0.236,35.411,6.46,0.424,4.683,80,0
2026-01-01T02:55:00+00:00,SEG-030,T-135,65.027,-0.671,0.285,0.321,38.569,12.4,0.635,4.246,80,0
2026-01-01T03:00:00+00:00,SEG-045,T-136,108.04,-0.269,0.097,0.02,34.068,28.65,0.949,6.968,130,0
2026-01-01T03:05:00+00:00,SEG-027,T-137,71.631,-0.624,0.822,0.4,47.562,57.36,0.857,2.153,60,1
2026-01-01T03:10:00+00:00,SEG-018,T-138,69.792,0.514,0.266,0.119,26.488,28.99,0.676,2.534,80,0
2026-01-01T03:15:00+00:00,SEG-009,T-139,112.629,-0.725,0.509,0.585,34.585,14.11,0.301,4.629,100,1
2026-01-01T03:20:00+00:00,SEG-006,T-140,140.656,0.191,0.984,0.78,43.82,7.84,0.321,5.932,130,2
2026-01-01T03:25:00+00:00,SEG-049,T-141,91.104,0.808,0.781,0.989,31.967,55.63,0.3,0.476,80,2
2026-01-01T03:30:00+00:00,SEG-031,T-142,66.227,0.255,0.681,0.531,49.036,49.58,0.754,4.991,110,1
2026-01-01T03:35:00+00:00,SEG-049,T-143,65.929,-0.459,0.855,0.918,38.796,55.63,0.3,0.476,80,2
2026-01-01T03:40:00+00:00,SEG-031,T-144,105.101,0.608,0.806,0.575,32.272,49.58,0.754,4.991,110,1
2026-01-01T03:45:00+00:00,SEG-048,T-145,145.677,1.097,0.867,0.568,39.048,59.92,0.638,0.398,130,2
2026-01-01T03:50:00+00:00,SEG-020,T-146,121.138,-1.42,0.765,0.737,40.566,51.9,0.558,0.445,110,2
2026-01-01T03:55:00+00:00,SEG-016,T-147,71.164,-0.27,0.284,0.02,29.539,15.4,0.614,6.193,110,0
2026-01-01T04:00:00+00:00,SEG-037,T-148,54.528,-0.95,0.989,0.536,47.177,51.43,0.839,1.333,60,1
2026-01-01T04:05:00+00:00,SEG-032,T-149,77.988,-1.242,0.46,0.131,36.464,29.6,0.628,0.847,80,1
2026-01-01T04:10:00+00:00,SEG-028,T-150,96.4,0.155,0.818,0.415,33.033,57.31,0.941,0.6,110,1
2026-01-01T04:15:00+00:00,SEG-047,T-151,100.046,-0.291,0.797,0.744,46.449,5.84,0.479,0.351,110,1
2026-01-01T04:20:00+00:00,SEG-029,T-152,97.468,0.338,0.898,0.626,42.998,63.61,0.639,0.88,110,2
2026-01-01T04:25:00+00:00,SEG-014,T-153,55.586,-1.053,0.843,0.763,31.83,55.1,0.816,1.603,60,2
2026-01-01T04:30:00+00:00,SEG-036,T-154,86.908,0.071,0.218,0.15,25.174,10.34,0.933,3.997,110,0
2026-01-01T04:35:00+00:00,SEG-042,T-155,28.173,0.881,0.212,0.188,30.324,5.19,0.979,5.852,60,0
2026-01-01T04:40:00+00:00,SEG-016,T-156,71.645,-0.021,0.151,0.035,30.78,15.4,0.614,6.193,110,0
2026-01-01T04:45:00+00:00,SEG-045,T-157,87.644,-0.771,0.2,0.275,31.062,28.65,0.949,6.968,130,0
2026-01-01T04:50:00+00:00,SEG-048,T-158,133.139,-0.392,0.748,0.684,48.751,59.92,0.638,0.398,130,2
2026-01-01T04:55:00+00:00,SEG-034,T-159,15.237,0.816,0.54,0.148,30.373,6.47,0.711,1.603,60,0
2026-01-01T05:00:00+00:00,SEG-020,T-160,103.593,-0.152,0.823,0.825,40.775,51.9,0.558,0.445,110,2
2026-01-01T05:05:00+00:00,SEG-049,T-161,76.193,0.185,0.996,0.519,35.653,55.63,0.3,0.476,80,2
2026-01-01T05:10:00+00:00,SEG-012,T-162,111.859,-1.179,1.168,0.689,43.449,42.0,0.64,1.714,110,2
2026-01-01T05:15:00+00:00,SEG-044,T-163,83.248,2.712,0.362,0.325,25.64,12.37,0.252,2.733,110,1
2026-01-01T05:20:00+00:00,SEG-008,T-164,62.195,-1.438,0.348,0.02,24.974,36.78,0.855,4.33,100,0
2026-01-01T05:25:00+00:00,SEG-020,T-165,128.626,-0.851,0.986,0.643,36.037,51.9,0.558,0.445,110,2
2026-01-01T05:30:00+00:00,SEG-048,T-166,133.833,0.073,0.626,0.645,44.459,59.92,0.638,0.398,130,1
2026-01-01T05:35:00+00:00,SEG-011,T-167,58.911,0.631,0.036,0.238,30.884,12.25,0.509,4.691,60,0
2026-01-01T05:40:00+00:00,SEG-046,T-168,100.186,0.308,0.193,0.191,36.678,11.75,0.467,6.781,130,0
2026-01-01T05:45:00+00:00,SEG-013,T-169,45.806,-0.917,0.02,0.124,41.423,19.01,0.926,4.817,80,0
2026-01-01T05:50:00+00:00,SEG-005,T-170,105.914,-0.939,0.643,0.792,29.92,45.98,0.498,1.088,100,2
2026-01-01T05:55:00+00:00,SEG-020,T-171,116.815,0.014,1.026,0.592,39.545,51.9,0.558,0.445,110,2
2026-01-01T06:00:00+00:00,SEG-003,T-172,131.148,-0.818,0.633,0.75,42.7,33.84,0.269,1.392,130,2
2026-01-01T06:05:00+00:00,SEG-038,T-173,41.79,0.256,1.089,0.649,41.79,24.32,0.55,6.047,60,2
2026-01-01T06:10:00+00:00,SEG-049,T-174,69.798,-1.519,0.829,0.566,62.101,55.63,0.3,0.476,80,2
2026-01-01T06:15:00+00:00,SEG-006,T-175,140.513,0.326,0.732,0.717,44.813,7.84,0.321,5.932,130,2
2026-01-01T06:20:00+00:00,SEG-027,T-176,54.895,-0.751,1.225,0.719,35.013,57.36,0.857,2.153,60,2
2026-01-01T06:25:00+00:00,SEG-021,T-177,63.877,-0.038,0.895,0.373,42.131,64.76,0.636,6.798,60,2
2026-01-01T06:30:00+00:00,SEG-035,T-178,94.134,-0.274,0.915,0.532,37.09,6.46,0.424,4.683,80,2
2026-01-01T06:35:00+00:00,SEG-018,T-179,61.275,-0.434,0.394,0.114,31.025,28.99,0.676,2.534,80,0
2026-01-01T06:40:00+00:00,SEG-041,T-100,97.934,2.339,0.334,0.02,29.611,31.15,0.888,0.528,130,0
2026-01-01T06:45:00+00:00,SEG-008,T-101,93.958,0.015,0.464,0.358,22.472,36.78,0.855,4.33,100,1
2026-01-01T06:50:00+00:00,SEG-033,T-102,70.713,0.36,0.943,0.498,43.151,23.3,0.679,1.611,80,1
2026-01-01T06:55:00+00:00,SEG-039,T-103,50.643,1.568,0.472,0.02,30.26,5.82,0.782,5.604,60,0
2026-01-01T07:00:00+00:00,SEG-027,T-104,63.236,0.619,0.727,0.875,42.156,57.36,0.857,2.153,60,2
2026-01-01T07:05:00+00:00,SEG-043,T-105,70.146,0.943,0.358,0.32,27.722,12.48,0.605,1.496,110,0
2026-01-01T07:10:00+00:00,SEG-035,T-106,80.256,-1.314,0.108,0.283,31.466,6.46,0.424,4.683,80,0
2026-01-01T07:15:00+00:00,SEG-027,T-107,75.728,-0.824,0.842,0.431,44.231,57.36,0.857,2.153,60,2
2026-01-01T07:20:00+00:00,SEG-043,T-108,108.551,0.789,0.775,0.721,41.317,12.48,0.605,1.496,110,1
2026-01-01T07:25:00+00:00,SEG-007,T-109,110.066,0.385,0.668,0.713,32.743,52.85,0.783,3.754,110,1
2026-01-01T07:30:00+00:00,SEG-027,T-110,65.461,-0.648,0.838,0.672,37.384,57.36,0.857,2.153,60,2
2026-01-01T07:35:00+00:00,SEG-006,T-111,124.856,0.538,1.04,0.428,38.183,7.84,0.321,5.932,130,2
2026-01-01T07:40:00+00:00,SEG-046,T-112,118.911,-0.297,0.865,0.574,39.047,11.75,0.467,6.781,130,1
2026-01-01T07:45:00+00:00,SEG-015,T-113,124.303,-1.361,0.783,0.676,33.874,27.27,0.298,6.392,130,2
2026-01-01T07:50:00+00:00,SEG-029,T-114,111.385,-0.602,0.887,0.629,43.821,63.61,0.639,0.88,110,2
2026-01-01T07:55:00+00:00,SEG-016,T-115,91.568,0.32,0.02,0.08,33.173,15.4,0.614,6.193,110,0
2026-01-01T08:00:00+00:00,SEG-025,T-116,133.999,-0.017,1.203,0.747,47.223,40.37,0.362,5.338,130,2
2026-01-01T08:05:00+00:00,SEG-001,T-117,69.644,-0.102,0.721,0.675,39.75,3.58,0.451,1.562,60,1
2026-01-01T08:10:00+00:00,SEG-023,T-118,93.448,-1.112,1.24,0.593,35.832,20.49,0.365,0.023,100,2
2026-01-01T08:15:00+00:00,SEG-031,T-119,152.202,1.338,0.739,0.74,39.356,49.58,0.754,4.991,110,2
2026-01-01T08:20:00+00:00,SEG-002,T-120,76.796,-0.01,0.743,0.455,38.325,7.48,0.558,0.209,80,1
2026-01-01T08:25:00+00:00,SEG-039,T-121,41.513,-0.642,0.412,0.02,32.699,5.82,0.782,5.604,60,0
2026-01-01T08:30:00+00:00,SEG-023,T-122,78.07,-0.205,0.353,0.188,21.758,20.49,0.365,0.023,100,0
2026-01-01T08:35:00+00:00,SEG-007,T-123,106.788,0.43,0.767,0.554,34.641,52.85,0.783,3.754,110,1
2026-01-01T08:40:00+00:00,SEG-047,T-124,90.749,0.419,0.163,0.099,34.034,5.84,0.479,0.351,110,0
2026-01-01T08:45:00+00:00,SEG-024,T-125,80.093,1.678,1.108,0.514,41.51,50.0,0.621,0.745,100,2
2026-01-01T08:50:00+00:00,SEG-031,T-126,105.977,1.342,1.161,0.703,35.644,49.58,0.754,4.991,110,2
2026-01-01T08:55:00+00:00,SEG-015,T-127,140.996,-0.332,0.778,0.264,52.614,27.27,0.298,6.392,130,1
2026-01-01T09:00:00+00:00,SEG-024,T-128,95.202,-0.004,0.927,0.746,46.032,50.0,0.621,0.745,100,2
2026-01-01T09:05:00+00:00,SEG-025,T-129,124.023,0.202,0.921,0.625,42.137,40.37,0.362,5.338,130,2
2026-01-01T09:10:00+00:00,SEG-036,T-130,70.263,-0.394,0.093,0.077,26.96,10.34,0.933,3.997,110,0
2026-01-01T09:15:00+00:00,SEG-008,T-131,59.824,0.019,0.369,0.14,29.29,36.78,0.855,4.33,100,0
2026-01-01T09:20:00+00:00,SEG-035,T-132,44.3,-1.295,0.308,0.165,17.518,6.46,0.424,4.683,80,0
2026-01-01T09:25:00+00:00,SEG-010,T-133,121.013,-1.414,0.68,0.431,31.392,55.89,0.883,2.661,110,1
2026-01-01T09:30:00+00:00,SEG-018,T-134,51.82,1.111,0.366,0.442,28.393,28.99,0.676,2.534,80,0
2026-01-01T09:35:00+00:00,SEG-035,T-135,91.382,2.332,0.815,0.611,39.449,6.46,0.424,4.683,80,2
2026-01-01T09:40:00+00:00,SEG-030,T-136,63.706,-1.352,0.462,0.224,31.651,12.4,0.635,4.246,80,0
2026-01-01T09:45:00+00:00,SEG-037,T-137,89.741,-0.851,0.948,0.494,32.591,51.43,0.839,1.333,60,2
2026-01-01T09:50:00+00:00,SEG-015,T-138,146.783,0.292,1.125,0.927,42.211,27.27,0.298,6.392,130,2
2026-01-01T09:55:00+00:00,SEG-017,T-139,106.58,0.624,1.097,0.829,45.822,18.69,0.43,3.93,100,2
2026-01-01T10:00:00+00:00,SEG-016,T-140,91.096,0.246,0.252,0.282,36.484,15.4,0.614,6.193,110,0
2026-01-01T10:05:00+00:00,SEG-029,T-141,114.811,-0.052,0.773,0.644,27.534,63.61,0.639,0.88,110,2
2026-01-01T10:10:00+00:00,SEG-003,T-142,146.154,3.198,0.723,0.586,50.166,33.84,0.269,1.392,130,2
2026-01-01T10:15:00+00:00,SEG-026,T-143,68.95,0.67,1.047,0.789,29.944,59.87,0.687,3.42,60,2
2026-01-01T10:20:00+00:00,SEG-021,T-144,69.281,-1.324,0.901,0.532,36.386,64.76,0.636,6.798,60,2
2026-01-01T10:25:00+00:00,SEG-034,T-145,76.669,-0.427,0.07,0.175,32.791,6.47,0.711,1.603,60,0
2026-01-01T10:30:00+00:00,SEG-042,T-146,47.089,0.11,0.02,0.213,38.418,5.19,0.979,5.852,60,0
2026-01-01T10:35:00+00:00,SEG-030,T-147,69.917,0.638,0.222,0.06,30.238,12.4,0.635,4.246,80,0
2026-01-01T10:40:00+00:00,SEG-010,T-148,107.451,-0.03,0.861,0.778,45.26,55.89,0.883,2.661,110,2
2026-01-01T10:45:00+00:00,SEG-009,T-149,91.384,0.403,0.674,0.557,40.53,14.11,0.301,4.629,100,1
2026-01-01T10:50:00+00:00,SEG-023,T-150,112.755,-0.182,0.789,0.689,41.016,20.49,0.365,0.023,100,2
2026-01-01T10:55:00+00:00,SEG-007,T-151,121.457,0.425,0.904,0.849,42.463,52.85,0.783,3.754,110,2
2026-01-01T11:00:00+00:00,SEG-036,T-152,83.637,1.641,0.032,0.275,21.152,10.34,0.933,3.997,110,0
2026-01-01T11:05:00+00:00,SEG-040,T-153,78.364,-1.158,0.645,0.583,36.95,14.07,0.641,0.981,80,1
2026-01-01T11:10:00+00:00,SEG-002,T-154,57.23,0.796,0.108,0.172,32.561,7.48,0.558,0.209,80,0
2026-01-01T11:15:00+00:00,SEG-026,T-155,50.826,0.603,0.826,0.277,48.185,59.87,0.687,3.42,60,1
2026-01-01T11:20:00+00:00,SEG-025,T-156,126.883,-0.346,0.979,0.607,31.773,40.37,0.362,5.338,130,2
2026-01-01T11:25:00+00:00,SEG-004,T-157,43.09,0.478,0.241,0.135,37.658,15.89,0.68,5.666,60,0
2026-01-01T11:30:00+00:00,SEG-028,T-158,103.989,-0.664,0.896,0.652,39.052,57.31,0.941,0.6,110,1
2026-01-01T11:35:00+00:00,SEG-044,T-159,116.027,2.553,0.715,0.63,45.189,12.37,0.252,2.733,110,2
2026-01-01T11:40:00+00:00,SEG-004,T-160,42.594,-0.053,0.345,0.25,35.5,15.89,0.68,5.666,60,0
2026-01-01T11:45:00+00:00,SEG-048,T-161,133.809,1.142,0.986,0.775,42.957,59.92,0.638,0.398,130,2
2026-01-01T11:50:00+00:00,SEG-043,T-162,131.877,1.576,0.989,0.676,42.307,12.48,0.605,1.496,110,2
2026-01-01T11:55:00+00:00,SEG-037,T-163,50.792,0.889,0.661,0.763,40.497,51.43,0.839,1.333,60,1
2026-01-01T12:00:00+00:00,SEG-021,T-164,72.757,-0.393,0.793,0.601,36.718,64.76,0.636,6.798,60,2
2026-01-01T12:05:00+00:00,SEG-028,T-165,114.215,0.762,0.691,0.629,39.98,57.31,0.941,0.6,110,1
2026-01-01T12:10:00+00:00,SEG-022,T-166,115.82,0.137,0.955,0.56,41.247,44.95,0.642,1.868,100,2
2026-01-01T12:15:00+00:00,SEG-042,T-167,34.908,1.156,0.248,0.258,34.651,5.19,0.979,5.852,60,0
2026-01-01T12:20:00+00:00,SEG-049,T-168,105.668,-1.091,1.029,0.542,37.175,55.63,0.3,0.476,80,2
2026-01-01T12:25:00+00:00,SEG-044,T-169,106.556,-1.268,0.641,0.572,33.496,12.37,0.252,2.733,110,1
2026-01-01T12:30:00+00:00,SEG-041,T-170,86.001,-0.704,0.307,0.02,24.134,31.15,0.888,0.528,130,0
2026-01-01T12:35:00+00:00,SEG-005,T-171,96.433,-0.313,0.798,0.664,43.177,45.98,0.498,1.088,100,2
2026-01-01T12:40:00+00:00,SEG-006,T-172,120.351,0.781,0.842,0.416,38.442,7.84,0.321,5.932,130,1
2026-01-01T12:45:00+00:00,SEG-037,T-173,53.883,0.261,0.771,0.793,43.251,51.43,0.839,1.333,60,1
2026-01-01T12:50:00+00:00,SEG-007,T-174,128.515,1.369,0.462,0.824,46.371,52.85,0.783,3.754,110,1
2026-01-01T12:55:00+00:00,SEG-029,T-175,116.4,-0.439,0.733,0.565,47.168,63.61,0.639,0.88,110,2
2026-01-01T13:00:00+00:00,SEG-050,T-176,81.646,1.124,0.077,0.149,30.23,9.55,0.9,1.724,130,0
2026-01-01T13:05:00+00:00,SEG-019,T-177,69.27,-0.309,0.486,0.02,29.263,33.09,0.802,6.028,80,0
2026-01-01T13:10:00+00:00,SEG-006,T-178,139.035,-0.942,0.965,0.862,40.127,7.84,0.321,5.932,130,2
2026-01-01T13:15:00+00:00,SEG-006,T-179,106.787,-1.236,0.038,0.353,35.455,7.84,0.321,5.932,130,0
2026-01-01T13:20:00+00:00,SEG-048,T-100,136.754,0.769,0.813,0.57,35.724,59.92,0.638,0.398,130,2
2026-01-01T13:25:00+00:00,SEG-014,T-101,62.281,-0.0,0.861,0.559,45.482,55.1,0.816,1.603,60,1
2026-01-01T13:30:00+00:00,SEG-019,T-102,96.797,0.793,1.013,0.798,31.292,33.09,0.802,6.028,80,2
2026-01-01T13:35:00+00:00,SEG-050,T-103,99.842,1.254,0.164,0.134,35.881,9.55,0.9,1.724,130,0
2026-01-01T13:40:00+00:00,SEG-040,T-104,87.574,0.076,0.998,0.472,46.788,14.07,0.641,0.981,80,2
2026-01-01T13:45:00+00:00,SEG-019,T-105,71.886,2.331,0.265,0.08,33.059,33.09,0.802,6.028,80,0
2026-01-01T13:50:00+00:00,SEG-031,T-106,117.908,0.19,1.076,0.514,39.231,49.58,0.754,4.991,110,2
2026-01-01T13:55:00+00:00,SEG-033,T-107,41.054,-0.466,0.528,0.126,33.037,23.3,0.679,1.611,80,0
2026-01-01T14:00:00+00:00,SEG-017,T-108,64.483,-0.462,0.259,0.382,28.205,18.69,0.43,3.93,100,0
2026-01-01T14:05:00+00:00,SEG-006,T-109,132.033,0.771,0.8,0.951,45.869,7.84,0.321,5.932,130,2
2026-01-01T14:10:00+00:00,SEG-015,T-110,151.614,-0.625,0.605,0.529,45.073,27.27,0.298,6.392,130,1
2026-01-01T14:15:00+00:00,SEG-006,T-111,140.334,-1.105,1.214,0.707,46.62,7.84,0.321,5.932,130,2
2026-01-01T14:20:00+00:00,SEG-010,T-112,107.446,-0.271,1.143,0.625,38.907,55.89,0.883,2.661,110,2
2026-01-01T14:25:00+00:00,SEG-001,T-113,49.663,1.725,0.961,0.662,50.406,3.58,0.451,1.562,60,1
2026-01-01T14:30:00+00:00,SEG-039,T-114,51.944,-1.401,0.325,0.166,33.781,5.82,0.782,5.604,60,0
2026-01-01T14:35:00+00:00,SEG-030,T-115,69.437,-0.286,0.338,0.039,23.733,12.4,0.635,4.246,80,0
2026-01-01T14:40:00+00:00,SEG-037,T-116,68.422,-1.151,0.983,0.572,39.06,51.43,0.839,1.333,60,2
2026-01-01T14:45:00+00:00,SEG-006,T-117,140.736,-0.432,0.596,0.916,31.859,7.84,0.321,5.932,130,2
2026-01-01T14:50:00+00:00,SEG-033,T-118,50.425,-0.004,0.355,0.02,19.278,23.3,0.679,1.611,80,0
2026-01-01T14:55:00+00:00,SEG-005,T-119,103.99,-1.454,0.826,0.454,43.317,45.98,0.498,1.088,100,2
2026-01-01T15:00:00+00:00,SEG-022,T-120,96.005,-1.01,0.966,0.485,33.166,44.95,0.642,1.868,100,2
2026-01-01T15:05:00+00:00,SEG-031,T-121,83.836,-0.982,0.872,0.603,43.087,49.58,0.754,4.991,110,1
2026-01-01T15:10:00+00:00,SEG-019,T-122,65.853,-1.328,0.02,0.132,36.737,33.09,0.802,6.028,80,0
2026-01-01T15:15:00+00:00,SEG-031,T-123,124.267,1.227,0.852,0.559,35.49,49.58,0.754,4.991,110,2
2026-01-01T15:20:00+00:00,SEG-042,T-124,52.476,0.702,0.348,0.357,25.668,5.19,0.979,5.852,60,0
2026-01-01T15:25:00+00:00,SEG-012,T-125,75.814,-0.195,0.02,0.185,21.295,42.0,0.64,1.714,110,0
2026-01-01T15:30:00+00:00,SEG-047,T-126,49.982,0.641,0.46,0.229,36.534,5.84,0.479,0.351,110,0
2026-01-01T15:35:00+00:00,SEG-019,T-127,65.893,-0.778,0.105,0.091,29.936,33.09,0.802,6.028,80,0
2026-01-01T15:40:00+00:00,SEG-003,T-128,145.511,0.08,0.733,0.466,45.407,33.84,0.269,1.392,130,2
2026-01-01T15:45:00+00:00,SEG-043,T-129,108.547,-2.009,0.662,0.84,35.638,12.48,0.605,1.496,110,1
2026-01-01T15:50:00+00:00,SEG-010,T-130,107.043,-0.522,0.695,0.722,45.137,55.89,0.883,2.661,110,1
2026-01-01T15:55:00+00:00,SEG-037,T-131,52.951,0.707,0.95,0.776,37.522,51.43,0.839,1.333,60,2
2026-01-01T16:00:00+00:00,SEG-005,T-132,91.107,1.111,0.82,0.587,38.329,45.98,0.498,1.088,100,2
2026-01-01T16:05:00+00:00,SEG-032,T-133,71.735,-1.387,0.309,0.144,33.463,29.6,0.628,0.847,80,0
2026-01-01T16:10:00+00:00,SEG-014,T-134,55.766,0.594,1.198,0.578,42.17,55.1,0.816,1.603,60,2
2026-01-01T16:15:00+00:00,SEG-046,T-135,87.866,-0.652,0.446,0.291,34.974,11.75,0.467,6.781,130,0
2026-01-01T16:20:00+00:00,SEG-023,T-136,93.335,-0.351,0.809,0.625,45.341,20.49,0.365,0.023,100,2
2026-01-01T16:25:00+00:00,SEG-012,T-137,95.674,0.469,0.769,0.646,42.995,42.0,0.64,1.714,110,1
2026-01-01T16:30:00+00:00,SEG-032,T-138,50.048,-0.291,0.189,0.239,24.828,29.6,0.628,0.847,80,0
2026-01-01T16:35:00+00:00,SEG-020,T-139,109.179,0.491,0.812,0.494,36.784,51.9,0.558,0.445,110,2
2026-01-01T16:40:00+00:00,SEG-037,T-140,76.737,-1.033,0.81,0.449,44.801,51.43,0.839,1.333,60,2
2026-01-01T16:45:00+00:00,SEG-050,T-141,116.199,0.771,0.02,0.055,36.887,9.55,0.9,1.724,130,0
2026-01-01T16:50:00+00:00,SEG-004,T-142,51.893,0.335,0.835,0.822,53.928,15.89,0.68,5.666,60,1
2026-01-01T16:55:00+00:00,SEG-034,T-143,87.587,-0.854,0.919,0.562,36.982,6.47,0.711,1.603,60,2
2026-01-01T17:00:00+00:00,SEG-009,T-144,98.334,-0.482,0.803,0.531,35.78,14.11,0.301,4.629,100,1
2026-01-01T17:05:00+00:00,SEG-040,T-145,78.328,-0.654,0.607,0.485,31.677,14.07,0.641,0.981,80,1
2026-01-01T17:10:00+00:00,SEG-002,T-146,77.909,-1.123,0.153,0.171,36.111,7.48,0.558,0.209,80,0
2026-01-01T17:15:00+00:00,SEG-002,T-147,53.317,-0.278,0.148,0.097,38.637,7.48,0.558,0.209,80,0
2026-01-01T17:20:00+00:00,SEG-044,T-148,96.108,-0.8,0.92,0.729,47.211,12.37,0.252,2.733,110,2
2026-01-01T17:25:00+00:00,SEG-010,T-149,114.423,-1.88,0.799,0.427,52.471,55.89,0.883,2.661,110,1
2026-01-01T17:30:00+00:00,SEG-009,T-150,96.811,-0.471,0.843,0.654,45.064,14.11,0.301,4.629,100,2
2026-01-01T17:35:00+00:00,SEG-004,T-151,46.888,1.802,0.075,0.309,32.131,15.89,0.68,5.666,60,0
2026-01-01T17:40:00+00:00,SEG-011,T-152,77.278,1.009,0.747,0.68,45.286,12.25,0.509,4.691,60,2
2026-01-01T17:45:00+00:00,SEG-020,T-153,111.888,0.177,0.985,0.725,37.707,51.9,0.558,0.445,110,2
2026-01-01T17:50:00+00:00,SEG-038,T-154,57.213,-1.097,0.298,0.331,26.108,24.32,0.55,6.047,60,1
2026-01-01T17:55:00+00:00,SEG-007,T-155,114.707,-0.856,1.041,0.498,42.498,52.85,0.783,3.754,110,2
2026-01-01T18:00:00+00:00,SEG-026,T-156,51.539,-1.082,0.792,0.617,47.756,59.87,0.687,3.42,60,1
2026-01-01T18:05:00+00:00,SEG-040,T-157,85.865,0.991,1.169,0.908,33.606,14.07,0.641,0.981,80,2
